IPO Date,Symbol,Company Name,IPO Price,Current,Return
"Feb 15, 2019",MITO,Stealth BioTherapeutics Corp.,$12.00,$0.67,-94.42%
"Feb 15, 2019",HOTH,"Hoth Therapeutics, Inc.",$5.60,$0.58,-89.61%
"Feb 15, 2019",AREC,American Resources Corporation,$4.00,$1.80,-55.00%
"Feb 14, 2019",TCRR,TCR2 Therapeutics Inc.,$15.00,$2.98,-80.13%
"Feb 14, 2019",AVDR,"Avedro, Inc.",$14.00,$22.99,22.99%
"Feb 13, 2019",IMAC,"IMAC Holdings, Inc.",$5.13,$1.25,-75.61%
"Feb 12, 2019",ANCN,Anchiano Therapeutics,$11.50,$75.36,75.36%
"Feb 8, 2019",RMG,RMG Acquisition Corp.,$10.00,$27.00,27.00%
"Feb 8, 2019",GOSS,"Gossamer Bio, Inc.",$16.00,$8.62,-46.13%
"Feb 8, 2019",HARP,"Harpoon Therapeutics, Inc.",$14.00,$4.71,-66.36%
"Feb 7, 2019",MNCL,Monocle Acquisition Corporation,$10.00,$12.20,12.20%
"Feb 7, 2019",ALEC,"Alector, Inc.",$19.00,$14.95,-21.32%
"Feb 4, 2019",IPV,InterPrivate Acquisition,$10.00,$13.04,13.04%
"Feb 4, 2019",INMB,Inmune Bio Inc.,$8.00,$9.72,21.50%
"Feb 1, 2019",GMHI,Gores Metropoulos,$10.00,$18.00,18.00%
"Jan 31, 2019",NFE,New Fortress Energy Inc.,$14.00,$21.17,51.21%
"Jan 17, 2019",RBKB,"Rhinebeck Bancorp, Inc.",$10.00,$11.04,10.40%
"Jan 9, 2019",BCOW,"1895 Bancorp of Wisconsin, Inc.",$10.00,$11.27,12.70%
"Jan 8, 2019",MDJH,MDJM Ltd.,$5.00,$2.21,-55.80%
"Jan 8, 2019",MTC,"MMTec, Inc.",$4.00,$0.60,-85.00%
"Jan 4, 2019",SXTC,"China SXT Pharmaceuticals, Inc.",$4.00,$0.19,-95.26%
