Ticker,Listed Data,City,State,Number of employees,Industry,IPO Price,Current,Return,Year
NSTD,2021-04-22,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.71,-2.90%,2021
LOKM,2021-04-22,MEMPHIS,TN,3.0,BLANK CHECKS,10.0,9.72,-2.80%,2021
HYAC,2021-04-22,NEW YORK,NY,4.0,BLANK CHECKS,10.0,9.85,-1.50%,2021
ANZU,2021-04-22,TAMPA,FL,3.0,BLANK CHECKS,10.0,9.73,-2.70%,2021
ARRW,2021-04-22,WESTON,MA,2.0,BLANK CHECKS,10.0,9.70,-3.00%,2021
NDAC,2021-04-22,SAN FRANCISCO,CA,2.0,BLANK CHECKS,10.0,9.69,-3.10%,2021
AMPI,2021-04-22,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.70,-3.00%,2021
SNII,2021-04-22,WASHINGTON,DC,4.0,BLANK CHECKS,10.0,9.90,-1.00%,2021
OHPA,2021-04-22,NEW YORK,NY,1.0,BLANK CHECKS,10.0,9.70,-3.00%,2021
FTEV,2021-04-22,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.70,-3.00%,2021
TSPQ,2021-04-22,LOS ANGELES,CA,4.0,BLANK CHECKS,10.0,9.72,-2.80%,2021
DHCA,2021-04-22,SOUTHLAKE,TX,2.0,BLANK CHECKS,10.0,9.71,-2.90%,2021
DHBC,2021-04-22,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.70,-3.00%,2021
NSTC,2021-04-22,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.72,-2.80%,2021
AGAC,2021-03-25,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.72,-2.80%,2021
SBEA,2021-04-19,AUSTIN,TX,5.0,BLANK CHECKS,10.0,10.05,0.50%,2021
AUS,2021-04-19,LAS VEGAS,NV,5.0,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,10.0,9.74,-2.60%,2021
FSNB,2021-04-19,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.72,-2.80%,2021
ARYD,2021-02-26,NEW YORK,NY,3.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",10.0,9.91,-0.90%,2021
WARR,2021-04-19,MIDLAND,TX,1.0,BLANK CHECKS,10.0,9.84,-1.60%,2021
ASZ,2021-04-19,LAS VEGAS,NV,5.0,BLANK CHECKS,10.0,9.74,-2.60%,2021
TWLV,2021-04-19,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.73,-2.70%,2021
IBER,2021-04-19,PHILADELPHIA,PA,3.0,BLANK CHECKS,10.0,9.69,-3.10%,2021
HUGS,2021-04-19,NEW YORK,NY,2.0,BLANK CHECKS,10.0,10.37,3.70%,2021
ISLE,2021-03-29,ST. PETERSBURG,FL,2.0,BLANK CHECKS,10.0,9.84,-1.60%,2021
EJFA,2021-04-19,ARLINGTON,VA,4.0,BLANK CHECKS,10.0,9.96,-0.45%,2021
GIIX,2021-04-19,BOULDER,CO,3.0,BLANK CHECKS,10.0,9.93,-0.70%,2021
FLME,2021-04-19,HOUSTON,TX,2.0,BLANK CHECKS,10.0,9.70,-3.00%,2021
BOAS,2021-04-05,WASHINGTON,DC,4.0,BLANK CHECKS,10.0,9.86,-1.40%,2021
GLBL,2021-04-16,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.90,-1.00%,2021
HIII,2021-04-16,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.72,-2.80%,2021
COLI,2021-04-16,KIRKLAND,WA,3.0,BLANK CHECKS,10.0,9.70,-3.05%,2021
ANAC,2021-04-15,DALLAS,TX,1.0,BLANK CHECKS,10.0,9.71,-2.90%,2021
SLAM,2021-04-15,NEW YORK,NY,5.0,BLANK CHECKS,10.0,9.71,-2.90%,2021
FTAA,2021-04-16,PHILADELPHIA,PA,2.0,BLANK CHECKS,10.0,9.93,-0.70%,2021
GSEV,2021-04-15,BOULDER,CO,3.0,BLANK CHECKS,10.0,9.75,-2.50%,2021
VELO,2021-04-15,RIDGEFIELD,CT,4.0,RETAIL-CATALOG & MAIL-ORDER HOUSES,10.0,9.72,-2.85%,2021
CFVI,2021-04-12,NEW YORK,NY,3.0,BLANK CHECKS,10.0,12.02,20.20%,2021
BRPM,2021-04-09,NEW YORK,NY,1.0,SERVICES-ADVERTISING,10.0,9.88,-1.20%,2021
SPGS,2021-04-12,INDIANAPOLIS,IN,2.0,BLANK CHECKS,10.0,9.73,-2.70%,2021
FACA,2021-04-12,SAN FRANCISCO,CA,3.0,BLANK CHECKS,10.0,9.89,-1.10%,2021
TWNI,2021-04-09,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.72,-2.80%,2021
KIII,2021-04-12,NEWARK,DE,1.0,BLANK CHECKS,10.0,9.71,-2.90%,2021
KAII,2021-04-12,NEWARK,DE,1.0,BLANK CHECKS,10.0,9.69,-3.10%,2021
FSRX,2021-04-12,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.71,-2.95%,2021
VRPX,2021-02-17,WEST CHESTER,PA,2.0,PHARMACEUTICAL PREPARATIONS,10.0,2.00,-80.00%,2021
NVSA,2021-04-12,CHICAGO,IL,3.0,BLANK CHECKS,10.0,9.70,-3.00%,2021
PFDR,2021-04-09,PALO ALTO,CA,3.0,SERVICES-PREPACKAGED SOFTWARE,10.0,9.72,-2.80%,2021
MACA,2021-04-07,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.72,-2.80%,2021
AUUD,2021-02-17,BOULDER,CO,11.0,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,4.13,1.60,-61.21%,2021
SPTK,2021-04-09,TULSA,OK,3.0,BLANK CHECKS,10.0,9.67,-3.30%,2021
